Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement,,
1,"(1, 5)",Max Drift,B,0.147732377,5,partial_change,,
1,"(1, 5)",Min Drift,A,0.104029775,1,partial_change,,
1,"(2, 4)",Max Drift,B,0.143703341,4,no_change,,
1,"(2, 4)",Min Drift,A,0.10246551,2,no_change,,
1,"(3, 3)",Max Drift,A,0.14172405,3,partial_change,,
1,"(3, 3)",Min Drift,A,0.092231512,3,partial_change,,
2,"(1, 5)",Max Drift,B,0.171614528,5,partial_change,,
2,"(1, 5)",Min Drift,A,0.112547874,1,partial_change,,
2,"(2, 4)",Max Drift,B,0.127479672,4,partial_change,,
2,"(2, 4)",Min Drift,A,0.089031518,2,no_change,,
2,"(3, 3)",Max Drift,B,0.156094491,3,partial_change,,
2,"(3, 3)",Min Drift,B,0.100469828,3,no_change,,
3,"(1, 5)",Max Drift,A,0.141228318,1,partial_change,,
3,"(1, 5)",Min Drift,A,0.107351661,1,partial_change,,
3,"(2, 4)",Max Drift,B,0.142329931,4,partial_change,,
3,"(2, 4)",Min Drift,A,0.091284096,2,no_change,,
3,"(3, 3)",Max Drift,A,0.135325789,3,no_change,,
3,"(3, 3)",Min Drift,B,0.112113357,3,clear_change,,
4,"(1, 5)",Max Drift,B,0.13384223,5,no_change,,
4,"(1, 5)",Min Drift,A,0.073453546,1,no_change,,
4,"(2, 4)",Max Drift,B,0.124450684,4,no_change,,
4,"(2, 4)",Min Drift,A,0.07754904,2,no_change,,
4,"(3, 3)",Max Drift,B,0.130609512,3,clear_change,,
4,"(3, 3)",Min Drift,A,0.08854723,3,clear_change,,
5,"(1, 5)",Max Drift,B,0.147040844,5,no_change,,
5,"(1, 5)",Min Drift,A,0.086538434,1,partial_change,,
5,"(2, 4)",Max Drift,B,0.126766205,4,partial_change,,
5,"(2, 4)",Min Drift,A,0.082751215,2,partial_change,,
5,"(3, 3)",Max Drift,A,0.144087374,3,partial_change,,
5,"(3, 3)",Min Drift,A,0.070748687,3,no_change,,
6,"(1, 5)",Max Drift,B,0.131017685,5,no_change,,
6,"(1, 5)",Min Drift,A,0.089027643,1,partial_change,,
6,"(2, 4)",Max Drift,A,0.120824873,2,partial_change,,
6,"(2, 4)",Min Drift,A,0.078527451,2,clear_change,,
6,"(3, 3)",Max Drift,B,0.133516848,3,clear_change,,
6,"(3, 3)",Min Drift,B,0.078311801,3,clear_change,,
