Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement,,,,,,,,,,,,,,,,,,,,,
1,"(1, 5)",Max Drift,B,0.125377178,5,partial_change,,,,,,,,,,,,,,,,,,,,,
1,"(1, 5)",Min Drift,B,0.076990962,5,no_change,,,,,,,,,,,,,,,,,,,,,
1,"(2, 4)",Max Drift,B,0.129980624,4,no_change,,,,,,,,,,,,,,,,,,,,,
1,"(2, 4)",Min Drift,B,0.111046195,4,partial_change,,,,,,,,,,,,,,,,,,,,,
1,"(3, 3)",Max Drift,A,0.11247921,3,no_change,,,,,,,,,,,,,,,,,,,,,
1,"(3, 3)",Min Drift,B,0.077175975,3,no_change,,,,,,,,,,,,,,,,,,,,,
2,"(1, 5)",Max Drift,B,0.134106159,5,no_change,,,,,,,,,,,,,,,,,,,,,
2,"(1, 5)",Min Drift,A,0.098255634,1,partial_change,,,,,,,,,,,,,,,,,,,,,
2,"(2, 4)",Max Drift,B,0.137222052,4,no_change,,,,,,,,,,,,,,,,,,,,,
2,"(2, 4)",Min Drift,B,0.079597831,4,no_change,,,,,,,,,,,,,,,,,,,,,
2,"(3, 3)",Max Drift,B,0.139384329,3,partial_change,,,,,,,,,,,,,,,,,,,,,
2,"(3, 3)",Min Drift,A,0.086462677,3,partial_change,,,,,,,,,,,,,,,,,,,,,
3,"(1, 5)",Max Drift,B,0.150157332,5,partial_change,,,,,,,,,,,,,,,,,,,,,
3,"(1, 5)",Min Drift,B,0.090166211,5,no_change,,,,,,,,,,,,,,,,,,,,,
3,"(2, 4)",Max Drift,A,0.149846554,2,partial_change,,,,,,,,,,,,,,,,,,,,,
3,"(2, 4)",Min Drift,B,0.084113836,4,no_change,,,,,,,,,,,,,,,,,,,,,
3,"(3, 3)",Max Drift,B,0.153209448,3,no_change,,,,,,,,,,,,,,,,,,,,,
3,"(3, 3)",Min Drift,B,0.092577815,3,partial_change,,,,,,,,,,,,,,,,,,,,,
4,"(1, 5)",Max Drift,B,0.120642066,5,partial_change,,,,,,,,,,,,,,,,,,,,,
4,"(1, 5)",Min Drift,A,0.078051925,1,no_change,,,,,,,,,,,,,,,,,,,,,
4,"(2, 4)",Max Drift,A,0.107631147,2,partial_change,,,,,,,,,,,,,,,,,,,,,
4,"(2, 4)",Min Drift,B,0.077805758,4,partial_change,,,,,,,,,,,,,,,,,,,,,
4,"(3, 3)",Max Drift,B,0.128343701,3,partial_change,,,,,,,,,,,,,,,,,,,,,
4,"(3, 3)",Min Drift,B,0.090347111,3,no_change,,,,,,,,,,,,,,,,,,,,,
5,"(1, 5)",Max Drift,B,0.112596214,5,partial_change,,,,,,,,,,,,,,,,,,,,,
5,"(1, 5)",Min Drift,A,0.081916153,1,partial_change,,,,,,,,,,,,,,,,,,,,,
5,"(2, 4)",Max Drift,A,0.117610991,2,partial_change,,,,,,,,,,,,,,,,,,,,,
5,"(2, 4)",Min Drift,B,0.079791725,4,partial_change,,,,,,,,,,,,,,,,,,,,,
5,"(3, 3)",Max Drift,A,0.147695363,3,partial_change,,,,,,,,,,,,,,,,,,,,,
5,"(3, 3)",Min Drift,B,0.069316328,3,no_change,,,,,,,,,,,,,,,,,,,,,
6,"(1, 5)",Max Drift,B,0.11166656,5,partial_change,,,,,,,,,,,,,,,,,,,,,
6,"(1, 5)",Min Drift,B,0.06301254,5,no_change,,,,,,,,,,,,,,,,,,,,,
6,"(2, 4)",Max Drift,B,0.100782871,4,no_change,,,,,,,,,,,,,,,,,,,,,
6,"(2, 4)",Min Drift,A,0.078418791,2,clear_change,,,,,,,,,,,,,,,,,,,,,
6,"(3, 3)",Max Drift,A,0.109822929,3,partial_change,,,,,,,,,,,,,,,,,,,,,
6,"(3, 3)",Min Drift,B,0.075449228,3,no_change,,,,,,,,,,,,,,,,,,,,,
